Season,Week,Date,Home Team,Home Score,Home Opening Spread,Home Closing Spread,Home Opening ML,Home Opening ML Decimal,Home Closing ML,Home Closing ML decimal,Away Team,Away Score,Away Opening Spread,Away Closing Spread,Away Opening ML,Away Opening ML Decimal,Away Closing ML,Away Closing ML decimal,Opening O/U Total,Closing O/U Total
2014,10,11/9/14,GNB,55,0,0,0,0,0,0,CHI,14,0,0,0,0,0,0,0,0
2014,13,11/30/14,HOU,45,0,0,0,0,0,0,TEN,21,0,0,0,0,0,0,0,0
2014,8,10/26/14,PIT,51,0,0,0,0,0,0,IND,34,0,0,0,0,0,0,0,0
2014,9,11/2/14,PIT,43,0,0,0,0,0,0,BAL,23,0,0,0,0,0,0,0,0
2014,13,11/30/14,IND,49,0,0,0,0,0,0,WAS,27,0,0,0,0,0,0,0,0
2014,16,12/21/14,DAL,42,0,0,0,0,0,0,IND,7,0,0,0,0,0,0,0,0
2014,8,10/26/14,NWE,51,0,0,0,0,0,0,CHI,23,0,0,0,0,0,0,0,0
2014,4,9/28/14,IND,41,0,0,0,0,0,0,TEN,17,0,0,0,0,0,0,0,0
2014,5,10/5/14,DEN,41,0,0,0,0,0,0,ARI,20,0,0,0,0,0,0,0,0
2014,7,10/19/14,DEN,42,0,0,0,0,0,0,SFO,17,0,0,0,0,0,0,0,0
2014,12,11/23/14,DEN,39,0,0,0,0,0,0,MIA,36,0,0,0,0,0,0,0,0
2014,16,12/21/14,MIA,37,0,0,0,0,0,0,MIN,35,0,0,0,0,0,0,0,0
2014,9,11/2/14,NWE,43,0,0,0,0,0,0,DEN,21,0,0,0,0,0,0,0,0
2014,6,10/12/14,OAK,28,0,0,0,0,0,0,LAC,31,0,0,0,0,0,0,0,0
2014,1,9/7/14,ATL,37,0,0,0,0,0,0,NOR,34,0,0,0,0,0,0,0,0
2014,3,9/18/14,ATL,56,0,0,0,0,0,0,TAM,14,0,0,0,0,0,0,0,0
2014,11,11/16/14,CHI,21,0,0,0,0,0,0,MIN,13,0,0,0,0,0,0,0,0
2014,2,9/15/14,IND,27,0,0,0,0,0,0,PHI,30,0,0,0,0,0,0,0,0
2014,4,9/28/14,DAL,38,0,0,0,0,0,0,NOR,17,0,0,0,0,0,0,0,0
2014,7,10/19/14,DAL,31,0,0,0,0,0,0,NYG,21,0,0,0,0,0,0,0,0
2014,1,9/7/14,DEN,31,0,0,0,0,0,0,IND,24,0,0,0,0,0,0,0,0
2014,2,9/14/14,DEN,24,0,0,0,0,0,0,KAN,17,0,0,0,0,0,0,0,0
2014,8,10/23/14,DEN,35,0,0,0,0,0,0,LAC,21,0,0,0,0,0,0,0,0
2014,14,12/7/14,DET,34,0,0,0,0,0,0,TAM,17,0,0,0,0,0,0,0,0
2014,2,9/14/14,GNB,31,0,0,0,0,0,0,NYJ,24,0,0,0,0,0,0,0,0
2014,5,10/2/14,GNB,42,0,0,0,0,0,0,MIN,10,0,0,0,0,0,0,0,0
2014,7,10/19/14,GNB,38,0,0,0,0,0,0,CAR,17,0,0,0,0,0,0,0,0
2014,11,11/16/14,GNB,53,0,0,0,0,0,0,PHI,20,0,0,0,0,0,0,0,0
2014,14,12/8/14,GNB,43,0,0,0,0,0,0,ATL,37,0,0,0,0,0,0,0,0
2014,4,9/29/14,KAN,41,0,0,0,0,0,0,NWE,14,0,0,0,0,0,0,0,0
